ax,ay,az,gx,gy,gz
-0.01,-0.01,1.0,0.33,-0.15,-0.04
-0.0,-0.01,1.0,0.48,-0.15,-0.14
-0.0,-0.0,1.01,0.55,-0.12,-0.2
-0.01,-0.01,1.0,0.54,-0.08,-0.21
-0.01,-0.01,1.0,0.54,-0.08,-0.21
-0.01,-0.01,1.0,0.47,-0.05,-0.23
-0.01,-0.01,1.0,0.37,-0.05,-0.23
-0.01,-0.01,1.0,0.27,-0.09,-0.22
-0.01,-0.01,1.0,0.17,-0.2,-0.19
-0.01,-0.01,1.0,0.11,-0.37,-0.13
-0.01,-0.01,1.0,0.11,-0.37,-0.13
-0.01,-0.01,1.0,0.07,-0.57,-0.05
-0.0,-0.01,1.0,0.05,-0.73,0.03
-0.0,-0.01,0.99,0.11,-0.85,0.1
0.0,-0.01,0.99,0.26,-0.88,0.12
0.0,-0.01,1.0,0.45,-0.83,0.13
0.0,-0.01,1.0,0.45,-0.83,0.13
0.0,-0.01,1.0,0.64,-0.74,0.17
-0.0,-0.01,1.01,0.76,-0.6,0.25
-0.01,-0.01,1.01,0.81,-0.44,0.33
-0.01,-0.01,1.0,0.78,-0.26,0.36
-0.01,-0.01,1.0,0.75,-0.12,0.37
-0.01,-0.01,1.0,0.75,-0.12,0.37
-0.01,-0.01,1.0,0.69,-0.05,0.34
-0.01,-0.01,1.0,0.62,-0.03,0.29
-0.01,-0.01,1.0,0.53,-0.05,0.26
-0.01,-0.01,1.0,0.46,-0.12,0.28
-0.02,-0.01,1.0,0.4,-0.23,0.3
-0.02,-0.01,1.0,0.4,-0.23,0.3
-0.02,-0.01,1.0,0.36,-0.43,0.33
-0.02,-0.0,1.0,0.27,-0.68,0.35
-0.01,-0.01,1.0,0.11,-0.92,0.35
-0.0,-0.01,1.0,-0.08,-1.11,0.37
-0.0,-0.01,1.0,-0.28,-1.15,0.39
-0.0,-0.01,1.0,-0.28,-1.15,0.39
-0.01,-0.02,1.0,-0.45,-1.11,0.42
-0.01,-0.02,0.99,-0.57,-0.97,0.43
-0.01,-0.02,0.99,-0.63,-0.82,0.37
-0.01,-0.02,1.0,-0.62,-0.66,0.32
-0.01,-0.02,1.0,-0.52,-0.48,0.27
-0.01,-0.02,1.0,-0.52,-0.48,0.27
-0.01,-0.02,1.0,-0.38,-0.31,0.25
-0.01,-0.01,1.0,-0.25,-0.14,0.22
-0.02,-0.01,1.0,-0.15,-0.0,0.21
-0.02,-0.01,1.01,-0.12,0.07,0.17
-0.01,-0.01,1.01,-0.12,0.1,0.15
-0.01,-0.01,1.01,-0.12,0.1,0.15
-0.02,-0.01,1.01,-0.15,0.07,0.12
-0.02,-0.01,1.01,-0.26,0.03,0.08
-0.02,-0.01,1.01,-0.43,-0.08,0.1
-0.02,-0.01,1.01,-0.64,-0.21,0.12
-0.02,-0.02,1.01,-0.87,-0.41,0.13
-0.02,-0.02,1.01,-0.87,-0.41,0.13
-0.02,-0.02,1.01,-1.02,-0.62,0.14
-0.01,-0.03,1.01,-1.1,-0.86,0.17
-0.01,-0.03,1.0,-1.12,-1.11,0.19
-0.01,-0.03,1.0,-1.05,-1.34,0.17
-0.01,-0.03,1.0,-0.9,-1.47,0.11
-0.01,-0.03,1.0,-0.9,-1.47,0.11
-0.0,-0.03,0.99,-0.71,-1.52,0.05
-0.0,-0.03,0.99,-0.5,-1.52,-0.07
-0.0,-0.02,0.99,-0.28,-1.49,-0.16
-0.0,-0.02,0.99,-0.06,-1.47,-0.28
-0.0,-0.02,0.99,0.1,-1.44,-0.41
-0.0,-0.02,0.99,0.1,-1.44,-0.41
-0.0,-0.02,0.99,0.2,-1.4,-0.58
0.0,-0.01,0.99,0.28,-1.31,-0.72
0.0,-0.01,0.99,0.36,-1.12,-0.86
0.01,-0.01,0.99,0.42,-0.88,-0.95
0.0,-0.02,0.98,0.5,-0.6,-0.97
0.0,-0.02,0.98,0.5,-0.6,-0.97
0.0,-0.01,0.98,0.63,-0.31,-0.9
0.0,-0.02,0.98,0.88,-0.04,-0.77
0.01,-0.01,0.98,1.24,0.24,-0.62
