ax,ay,az,gx,gy,gz
0.09,0.18,1.0,2.63,2.24,-0.07
0.08,0.18,0.99,2.45,2.09,0.08
0.08,0.18,0.99,2.33,1.98,0.23
0.08,0.18,0.99,2.33,1.98,0.23
0.08,0.18,0.99,2.27,1.89,0.34
0.08,0.18,1.0,2.29,1.79,0.39
0.08,0.18,1.0,2.3,1.73,0.4
0.08,0.19,1.0,2.3,1.66,0.4
0.08,0.19,1.0,2.25,1.63,0.41
0.08,0.19,1.0,2.25,1.63,0.41
0.08,0.18,1.0,2.15,1.65,0.42
0.08,0.18,1.0,2.05,1.72,0.37
0.08,0.18,1.0,2.01,1.82,0.31
0.08,0.18,1.0,2.04,1.95,0.18
0.08,0.18,1.0,2.07,2.12,0.03
0.08,0.18,1.0,2.07,2.12,0.03
0.08,0.18,1.0,2.07,2.33,-0.13
0.08,0.18,1.0,2.0,2.56,-0.28
0.08,0.18,1.0,1.9,2.82,-0.4
0.08,0.18,1.0,1.76,3.05,-0.52
0.08,0.18,1.0,1.6,3.21,-0.63
0.08,0.18,1.0,1.6,3.21,-0.63
0.08,0.18,0.99,1.47,3.33,-0.75
0.08,0.18,1.0,1.37,3.45,-0.84
0.08,0.18,1.0,1.26,3.54,-0.9
0.07,0.18,1.0,1.14,3.59,-0.98
0.07,0.18,1.0,1.02,3.61,-1.02
0.07,0.18,1.0,1.02,3.61,-1.02
0.07,0.18,1.0,0.95,3.56,-1.08
0.07,0.18,1.0,0.87,3.39,-1.08
0.07,0.18,1.0,0.79,3.2,-1.05
0.07,0.18,1.0,0.74,3.01,-1.06
0.07,0.18,1.0,0.72,2.82,-1.1
0.07,0.18,1.0,0.72,2.82,-1.1
0.07,0.18,1.01,0.75,2.71,-1.15
0.08,0.18,1.0,0.85,2.68,-1.2
0.08,0.18,1.0,1.04,2.71,-1.23
0.08,0.18,1.0,1.29,2.83,-1.24
0.07,0.18,1.0,1.58,2.98,-1.22
0.07,0.18,1.0,1.58,2.98,-1.22
0.06,0.18,1.0,1.87,3.02,-1.19
0.06,0.18,1.0,2.16,2.93,-1.15
0.06,0.19,1.0,2.43,2.69,-1.11
0.07,0.19,1.0,2.62,2.33,-1.06
0.07,0.19,1.0,2.7,1.92,-1.02
0.07,0.19,1.0,2.7,1.92,-1.02
0.07,0.19,1.01,2.66,1.57,-0.98
0.08,0.19,1.0,2.53,1.3,-0.93
0.08,0.2,1.0,2.34,1.13,-0.91
0.08,0.19,1.0,2.11,1.04,-0.91
0.08,0.19,1.0,1.83,1.04,-0.93
0.08,0.19,1.0,1.83,1.04,-0.93
0.08,0.19,1.0,1.57,1.13,-0.93
0.08,0.19,1.0,1.36,1.25,-0.91
0.08,0.18,0.99,1.22,1.38,-0.86
0.08,0.18,0.99,1.21,1.51,-0.79
0.08,0.18,0.99,1.32,1.56,-0.68
0.08,0.18,0.99,1.32,1.56,-0.68
0.08,0.18,0.99,1.52,1.5,-0.53
0.08,0.18,0.99,1.76,1.35,-0.38
0.08,0.18,0.99,2.02,1.17,-0.24
0.08,0.19,0.99,2.3,1.0,-0.16
0.08,0.19,1.0,2.59,0.89,-0.13
0.08,0.19,1.0,2.59,0.89,-0.13
0.08,0.19,1.0,2.78,0.89,-0.13
0.08,0.2,1.0,2.77,0.96,-0.16
